detector,descriptor,image_id, ttc
AKAZE,AKAZE,16,14.683828
AKAZE,AKAZE,17,15.802714
AKAZE,AKAZE,18,15.941317
FAST,SIFT,0,nan
FAST,SIFT,1,10.133495
FAST,SIFT,2,8.913002
FAST,SIFT,3,14.916123
FAST,SIFT,4,10.284582
FAST,SIFT,5,10.713309
FAST,SIFT,6,10.495696
FAST,SIFT,7,10.095610
FAST,SIFT,8,11.407463
FAST,SIFT,9,10.855269
FAST,SIFT,10,10.017691
FAST,SIFT,11,9.159121
FAST,SIFT,12,11.058589
FAST,SIFT,13,9.562566
FAST,SIFT,14,9.604089
FAST,SIFT,15,9.616489
FAST,SIFT,16,7.246037
FAST,SIFT,17,5.325116
FAST,SIFT,18,16.132553
BRISK,SIFT,0,nan
BRISK,SIFT,1,11.111997
BRISK,SIFT,2,32.327956
BRISK,SIFT,3,8.039664
BRISK,SIFT,4,8.383169
BRISK,SIFT,5,28.879711
BRISK,SIFT,6,31.575669
BRISK,SIFT,7,6.843636
BRISK,SIFT,8,18.256141
BRISK,SIFT,9,9.979995
BRISK,SIFT,10,12.193079
BRISK,SIFT,11,10.609179
BRISK,SIFT,12,10.238236
BRISK,SIFT,13,7.116679
BRISK,SIFT,14,16.479977
BRISK,SIFT,15,8.050817
BRISK,SIFT,16,17.688904
BRISK,SIFT,17,7.337998
BRISK,SIFT,18,46.784514
ORB,SIFT,0,nan
ORB,SIFT,1,8.059555
ORB,SIFT,2,nan
ORB,SIFT,3,nan
ORB,SIFT,4,8.294300
ORB,SIFT,5,8.080960
ORB,SIFT,6,nan
ORB,SIFT,7,nan
ORB,SIFT,8,nan
ORB,SIFT,9,nan
ORB,SIFT,10,nan
ORB,SIFT,11,10.247558
ORB,SIFT,12,nan
ORB,SIFT,13,9.920270
ORB,SIFT,14,nan
ORB,SIFT,15,20.774813
ORB,SIFT,16,9.861606
ORB,SIFT,17,3.510195
ORB,SIFT,18,5.135151
AKAZE,SIFT,0,nan
AKAZE,SIFT,1,22.482735
AKAZE,SIFT,2,18.678515
AKAZE,SIFT,3,34.430935
AKAZE,SIFT,4,20.393045
AKAZE,SIFT,5,13.683946
AKAZE,SIFT,6,15.670157
AKAZE,SIFT,7,18.712091
AKAZE,SIFT,8,20.201462
AKAZE,SIFT,9,60.506391
AKAZE,SIFT,10,17.305980
AKAZE,SIFT,11,16.226465
AKAZE,SIFT,12,13.186201
AKAZE,SIFT,13,12.652372
AKAZE,SIFT,14,11.303067
AKAZE,SIFT,15,12.938964
AKAZE,SIFT,16,9.926197
AKAZE,SIFT,17,13.552125
AKAZE,SIFT,18,7.489909
SIFT,SIFT,0,nan
SIFT,SIFT,1,11.394640
SIFT,SIFT,2,36.536885
SIFT,SIFT,3,16.807861
SIFT,SIFT,4,12.802660
SIFT,SIFT,5,20.051697
SIFT,SIFT,6,20.636046
SIFT,SIFT,7,32.219519
SIFT,SIFT,8,25.540455
SIFT,SIFT,9,14.585487
SIFT,SIFT,10,16.103162
SIFT,SIFT,11,9.085890
SIFT,SIFT,12,14.376359
SIFT,SIFT,13,7.449015
SIFT,SIFT,14,8.166777
SIFT,SIFT,15,6.632439
SIFT,SIFT,16,8.233044
SIFT,SIFT,17,8.754695
SIFT,SIFT,18,8.618095
FAST,BRISK,0,nan
FAST,BRISK,1,11.234755
FAST,BRISK,2,11.181310
FAST,BRISK,3,19.146320
FAST,BRISK,4,10.817038
FAST,BRISK,5,9.637307
FAST,BRISK,6,9.892764
FAST,BRISK,7,11.283127
FAST,BRISK,8,nan
FAST,BRISK,9,8.725538
FAST,BRISK,10,9.383316
FAST,BRISK,11,10.361691
FAST,BRISK,12,22.700440
FAST,BRISK,13,10.265382
FAST,BRISK,14,9.282881
FAST,BRISK,15,nan
FAST,BRISK,16,13.817578
FAST,BRISK,17,7.471495
FAST,BRISK,18,204.795442
BRISK,BRISK,0,nan
BRISK,BRISK,1,12.190353
BRISK,BRISK,2,19.967855
BRISK,BRISK,3,192.743039
BRISK,BRISK,4,16.246609
BRISK,BRISK,5,30.108349
BRISK,BRISK,6,20.988938
BRISK,BRISK,7,14.358395
BRISK,BRISK,8,14.535291
BRISK,BRISK,9,15.473666
BRISK,BRISK,10,3.647643
BRISK,BRISK,11,12.954948
BRISK,BRISK,12,65.099274
BRISK,BRISK,13,7.457490
BRISK,BRISK,14,5.329160
BRISK,BRISK,15,34.204940
BRISK,BRISK,16,15.426461
BRISK,BRISK,17,7.118143
BRISK,BRISK,18,10.696271
ORB,BRISK,0,nan
ORB,BRISK,1,8.259596
ORB,BRISK,2,nan
ORB,BRISK,3,nan
ORB,BRISK,4,8.879248
ORB,BRISK,5,8.080960
ORB,BRISK,6,nan
ORB,BRISK,7,nan
ORB,BRISK,8,nan
ORB,BRISK,9,nan
ORB,BRISK,10,nan
ORB,BRISK,11,16.869719
ORB,BRISK,12,nan
ORB,BRISK,13,9.180442
ORB,BRISK,14,nan
ORB,BRISK,15,8.034895
ORB,BRISK,16,23.774166
ORB,BRISK,17,11.931579
ORB,BRISK,18,11.196871
AKAZE,BRISK,0,nan
AKAZE,BRISK,1,11.309561
AKAZE,BRISK,2,18.971726
AKAZE,BRISK,3,21.377102
AKAZE,BRISK,4,24.196733
AKAZE,BRISK,5,14.699238
AKAZE,BRISK,6,41.022998
AKAZE,BRISK,7,30.016262
AKAZE,BRISK,8,13.828068
AKAZE,BRISK,9,31.083511
AKAZE,BRISK,10,21.489399
AKAZE,BRISK,11,11.601656
AKAZE,BRISK,12,16.864073
AKAZE,BRISK,13,13.623213
AKAZE,BRISK,14,27.687237
AKAZE,BRISK,15,11.031471
AKAZE,BRISK,16,8.663637
AKAZE,BRISK,17,11.359588
AKAZE,BRISK,18,16.739000
SIFT,BRISK,0,nan
SIFT,BRISK,1,18.688148
SIFT,BRISK,2,21.687883
SIFT,BRISK,3,22.160900
SIFT,BRISK,4,27.038198
SIFT,BRISK,5,9.561406
SIFT,BRISK,6,6.569574
SIFT,BRISK,7,21.212633
SIFT,BRISK,8,15.054897
SIFT,BRISK,9,382.457301
SIFT,BRISK,10,11.333345
SIFT,BRISK,11,12.246496
SIFT,BRISK,12,22.432117
SIFT,BRISK,13,12.680498
SIFT,BRISK,14,8.992116
SIFT,BRISK,15,25.662754
SIFT,BRISK,16,10.513886
SIFT,BRISK,17,10.456090
SIFT,BRISK,18,21.509412
